number,priority,module,title,upstream_state,local_state,root_cause_group,required_action,test_ref,evidence
2235,P1,tls-cert,[SocketCore.cc:1019] errorCode=1 SSL/TLS handshake failure: The TLS connection was non-properly terminated.,fixed-verified,verified-effective,client-tls-handshake-retry,backported,test/SocketCoreTest.cc::testClientTlsHandshakeRemoteCloseIsRetriable (+ testWinTlsContextAllowsTls13Minimum),Confirmed: the client-side handshake-failure reclassification to DL_RETRY_EX is backend-neutral (above TLSSession) and reaches AbstractCommand's retry path on all shipped backends; server side still aborts. #1794's unknown-version abort is removed and reachable; the two WinTLS regressions it rode in with (min-tls-version no-op and dropped strong-crypto) are fixed by this branch. Caveat: permanent cert failures are also retried (widening of existing behaviour).
2280,P1,tls-cert,Aria2 broken files when called from windows 11 .cmd or .bat,fixed-verified,defective-rewritten,conditional-get-restart-from-scratch,backported-rewritten,test/RequestGroupTest.cc::testCreateCheckIntegrityEntryRestartFromScratch; test/e2e/conditional-get-restart.e2e.test.mjs,"DEFECT: createCheckIntegrityEntry dropped FileOpenMode before loadAndOpenFile, so RESTART_FROM_SCRATCH was dead code and the ported test bypassed it. Rewritten: early-return truncates on a conditional 200; HttpResponseCommand passes RESTART. RED proven (stale file kept pre-fix)."
2285,P1,core-other,"When downloading, change max-concurrent-downloads sucess but not work.",fixed-verified,needs-attention,runtime-concurrency-downscale,backported,"test/RequestGroupManTest.cc::testReduceMaxConcurrentDownloads (shutdown-path drain, not steady-state)","reduceActiveDownloadsToLimit works for third-party RPC clients but is effectively dead for Motrix (Turbo sends max-concurrent-downloads only as a launch flag, never over changeGlobalOption). Fork-specific HAZARD: the forced pause/restart transitions can persist state=paused into the SQLite3 task row during the drain window; crash recovery then brings the task back paused and it never auto-starts. Half-applied (optimize-concurrent-downloads branch sheds nothing). Coordinate with motrix-turbo before relying on it."
2290,P1,tls-cert,[SocketCore.cc:1019] errorCode=1 SSL/TLS handshake failure: Error: An existing connection was forcibly closed by the remote host.,fixed-verified,verified-effective,client-tls-handshake-retry,backported,test/SocketCoreTest.cc::testClientTlsHandshakeRemoteCloseIsRetriable (+ testWinTlsContextAllowsTls13Minimum),Confirmed: the client-side handshake-failure reclassification to DL_RETRY_EX is backend-neutral (above TLSSession) and reaches AbstractCommand's retry path on all shipped backends; server side still aborts. #1794's unknown-version abort is removed and reachable; the two WinTLS regressions it rode in with (min-tls-version no-op and dropped strong-crypto) are fixed by this branch. Caveat: permanent cert failures are also retried (widening of existing behaviour).
774,P2,dns-ipv6,name resolution failed!  HELP!!!,fixed-verified,verified-effective,async-dns-family-completion,backported,primitive-only: test/AsyncNameResolverManTest.cc::testIPv6OnlySuccessCompletesAfterIPv4Error,"Confirmed: the new success && success+error==numResolver predicate lets an AAAA-only host start (old predicate hung until timeout). Reaches production via AbstractCommand::resolveHostname on the c-ares build (the only one that compiles this file; release builds use it). Side effect: numResolver==0 now returns -1, changing an abort message."
1118,P2,http-range-retry,Check the header “Content-Disposition” to determine the filename to store,fixed-verified,verified-effective,content-disposition-compat,backported,test/UtilTest1.cc::testGetContentDispositionFilename,"Confirmed: the trailing-empty-parameter case reaches production via HttpResponse::determineFilename and is correctly gated (still rejects filename-less trailers). Wart: 'filename=""x"" ;' (space before ;) is still rejected, a whitespace-sensitive split."
1131,P2,bittorrent-dht,BitTorrent errorCode=26 Detected directory traversal directive,fixed-verified,verified-effective,torrent-path-traversal-policy,backported,test/BittorrentHelperTest.cc::testLoadFromMemory_skipsEmptyDirectoryEntry,"Confirmed on the real loadFromMemory path. SECURITY: the relaxed guard drops the empty-directory entry entirely (no FileEntry/path produced), so it re-opens no traversal; length>0 or non-empty final element still throws errorCode=26. Piece-hash offset balance preserved."
1535,P2,filesystem-session,aria2c creates a ./dev directory and a ./dev/null file when attempting to run a speed tests,fixed-verified,verified-effective,file-allocation-path-semantics,backported,test/UtilTest2.cc::testApplyDir,Confirmed: applyDir returns an absolute --out path untouched (fixing the ./dev/null directory creation) via the live download_helper path; relative -d ./foo unaffected; opens no new traversal vector (remote-controlled callers are separately guarded). Minor: the MinGW UNC sub-branch is half-dead.
2050,P2,http-range-retry,msys2 mingw64 configure failed,fixed-verified,verified-effective,autoconf-multiline-macro-compat,backported,build:autoreconf -i succeeds on MSYS2,Committed separately (flatten wslay configure.ac m4 lists). Confirmed: autoreconf -i runs; the generated configure is unchanged elsewhere. Only affects MSYS2 autoconf expansion.
2263,P2,filesystem-session,aria2 1.37 make check fail aria2c tests - failure and reason not obvious,fixed-verified,verified-effective,test-suite-path-sensitive-output,backported,test/ExceptionTest.cc::testStackTrace,Confirmed: the two-step path/__FILE__ normalization makes the stack-trace assertions robust across all srcdir/__FILE__ forms; hard-coded line numbers dropped. Minor robustness nit in the ordering asserts.
2272,P2,tls-cert,Inconsistent Header Order for User-Agent Between Config File and --header Flag Causes Issues with Strict Servers,fixed-verified,verified-effective,http-header-order-stability,backported,test/HttpRequestTest.cc::testUserAgentHeaderOrder,Confirmed: createRequest emits a stable Accept/Host/User-Agent order on every issued request and a user User-Agent overrides the builtin; no signed header is reordered. Caveats: CONNECT still uses the builtin UA; duplicate user UA dropped.
926,P3,http-range-retry,Content-Range: bytes x-y/* handling,fixed-verified,ported-ineffective,http-content-range-tolerance,backported,none (no test builds a bytes x-y/* response),"The reported input (Content-Range: bytes x-y/*, unknown instance length) is still rejected: getRange() returns an all-zero Range so the new tolerance branch cannot match. The fork's own evidence ('preserves rejection for missing entity length') concedes it; marked fixed-verified against a change that never targeted #926."
1407,P3,tls-cert,min-tls-version=TLSv1.3 fails on Windows,fixed-partially-verified,defective-rewritten,tls13-backend-capability,backported-rewritten,test/WinTLSProtocolsTest.cc (3 cases + obsolete protocol assertions); mingw cross-compile parity,"DEFECT: modern-Schannel AND-ed ~SP_PROT into a zero grbitDisabledProtocols mask (stays 0 = no floor), so --min-tls-version was a no-op. Rewritten: winTLSDisabledProtocols() builds the blacklist and explicitly disables PCT/SSL so the minimum is not weakened by machine policy; host-unit-tested (RED vs original bit logic)."
1461,P3,http-range-retry,HTTP Response Header with empty value causes error,fixed-verified,ported-tests-pass,http-empty-header-value,backported,regression:test/HttpHeaderProcessorTest.cc,Ported unchanged (empty HTTP header value handling). Regression test and full make check pass; not independently deep-audited this pass.
1471,P3,http-range-retry,"""Loop range missing/overflow"" error due to ridiculously small data type",fixed-verified,defective-fixed,parameterized-uri-range-width,backported-fixed,test/ParamedStringTest.cc::testExpandEmptyChoiceThenLoopDoesNotCrash (+ _testExpandRejectsResourceExhaustingRange),"The port added an RPC-reachable divide-by-zero and a %d/int64_t format mismatch. Fixed. Final pass bounds aggregate choice/range expansion at 65,536 strings, so inputs such as [0-2147483647] fail before reserve/allocation instead of causing process OOM."
